Table No.,Tank No.,Individual No.,Experiment/Test Animal,Label,Temp Treat,pH Treat,Size Class,Grouping,Date Initial,Time Initial,Date Final,Dead,Alive,Handling Stress,Initial Length,Final Length ,_ Length ,Initial Surface Area ,Final Surface Area ,_ Surface Area ,Initial Wet Weight ,Initial Dry Weight ,Initial Dry Shell Weight ,Final Dry Shell Weight ,_ Dry Shell Weight ,Initial Dry Tissue Weight ,Final Dry Tissue Weight ,_ Dry Tissue Weight ,Final Total Dry Weight,Final Shell Weight:Total Weight,Notes:,,,
1,1,1,experiment,1,Low,Low,small,LL,7/15/16,9:09 AM,8/11/16,0,1,0,1.151,1.185,0.034,0.635,0.690,0.055,0.189,0.090,0.081,0.045,-0.036,0.009,n/a,n/a,n/a,n/a,Died after 4-week sampling during mass mortality with disruption in seawater flow.,,,
1,1,2,experiment,2,Low,Low,small,LL,7/15/16,9:09 AM,8/11/16,0,1,0,1.387,1.391,0.004,1.037,1.008,-0.029,0.288,0.146,0.118,0.086,-0.032,0.028,n/a,n/a,n/a,n/a,Died after 4-week sampling during mass mortality with disruption in seawater flow.,,,
1,1,3,experiment,3,Low,Low,large,LL,7/15/16,9:18 AM,8/10/16,1,0,0,2.219,2.541,0.322,2.540,3.340,0.800,1.815,1.014,0.690,0.920,0.230,0.324,n/a,n/a,n/a,n/a,Mid-experiment mortality.,,,
1,1,4,experiment,4,Low,Low,large,LL,7/15/16,9:18 AM,8/11/16,0,1,0,2.019,2.073,0.054,2.151,2.173,0.022,1.022,0.564,0.393,0.299,-0.094,0.170,n/a,n/a,n/a,n/a,Died after 4-week sampling during mass mortality with disruption in seawater flow.,,,
1,2,5,experiment,5,High,High,small,HH,7/15/16,9:18 AM,8/10/16,1,0,0,1.570,1.541,-0.029,1.271,1.242,-0.029,0.508,0.271,0.201,0.181,-0.020,0.071,n/a,n/a,n/a,n/a,Mid-experiment mortality.,,,
1,2,6,experiment,6,High,High,small,HH,7/15/16,9:18 AM,8/11/16,0,1,0,1.402,1.421,0.019,0.971,1.010,0.039,0.285,0.145,0.117,0.108,-0.009,0.027,0.043,0.016,0.151,0.715,Finished experiment.,,,
1,2,7,experiment,7,High,High,large,HH,7/15/16,9:19 AM,7/21/16,1,0,1,2.055,2.086,0.031,2.082,2.250,0.168,1.195,0.662,0.458,0.462,0.004,0.204,n/a,n/a,n/a,n/a,Mid-experiment mortality.,,,
1,2,8,experiment,8,High,High,large,HH,7/15/16,9:19 AM,8/11/16,0,1,0,2.466,2.512,0.046,3.019,3.126,0.107,2.102,1.177,0.798,0.738,-0.060,0.379,0.124,-0.255,0.862,0.856,Died after 4-week sampling during mass mortality with disruption in seawater flow.,,,
1,3,9,experiment,9,High,High,small,HH,7/15/16,9:19 AM,8/11/16,0,1,0,1.444,1.517,0.073,1.069,1.157,0.088,0.388,0.203,0.156,0.127,-0.029,0.047,n/a,n/a,n/a,n/a,Died after 4-week sampling during mass mortality with disruption in seawater flow.,,,
1,3,10,experiment,10,High,High,small,HH,7/15/16,9:19 AM,8/11/16,0,1,0,1.096,1.239,0.143,0.606,0.779,0.173,0.186,0.089,0.080,0.067,-0.013,0.008,n/a,n/a,n/a,n/a,Died after 4-week sampling during mass mortality with disruption in seawater flow.,,,
1,3,11,experiment,11,High,High,large,HH,7/15/16,9:19 AM,7/21/16,1,0,1,1.989,2.110,0.121,2.308,2.126,-0.182,1.181,0.654,0.453,0.424,-0.029,0.201,n/a,n/a,n/a,n/a,Mid-experiment mortality.,,,
